Layer,Name,GEOID,Population,CIP_2010-2020,CIP_2010-2020_moe,PCT-W_2018-2022,PCT-W_2018-2022_moe,POP_2018-2022,POP_2018-2022_moe,EKW_2022,EKW_2022_moe,RBS_2018-2022,RBS_2018-2022_moe,RBU_2018-2022,RBU_2018-2022_moe,TRF_2020,TRF_2020_moe,EVR_2018,EVR_2018_moe,VAC_2018-2022,VAC_2018-2022_moe
,,,,"Change in Population (% change), 2010-2020",(90% margin of error),"Demographics, Non-Hispanic White (% of residents), 2018-2022",(90% margin of error),"Population (residents), 2018-2022",(90% margin of error),"Walkability Index, 2022",(90% margin of error),"Severely rent-burdened (% of renter-occupied housing units), 2018-2022",(90% margin of error),"Rent-burdened (% of renter-occupied housing units), 2018-2022",(90% margin of error),"Traffic intensity (distance-weighted vehicles), 2020",(90% margin of error),"Eviction rate (% of renter-occupied households), 2018",(90% margin of error),"Vacant (% of housing units), 2018-2022",(90% margin of error)
Census tract,Tract 101,17031010100,4905,1.050679852,,41.1297852474323,9.992130280861698,4284.0,656.0,12.83,,28.852459016393446,10.354040737651676,46.62295081967213,13.008482295433128,282.50315795470334,,0.8,,21.07409925220938,6.549816973737663
Census tract,Tract 102.01,17031010201,6939,7.581395349,,18.964677222898903,3.788504821433738,8210.0,1076.0,15.0,,18.94593366651522,9.189876911975176,38.98228078146297,11.162610109815027,206.77472158813947,,0.83,,7.682926829268292,4.917891587158928
Census tract,Tract 102.02,17031010202,2742,-2.69694819,,30.017452006980804,5.814640857189627,2865.0,398.0,15.829999999999998,,22.40085744908896,8.803441276800248,52.840300107181136,16.03244202994387,133.06153649819476,,0.68,,7.207890743550835,4.647525069146979
Census tract,Tract 103,17031010300,6305,1.106478512,,50.72951739618407,9.98058233795085,6237.0,868.0,14.25,,33.64437532400208,14.572567971647194,53.18818040435459,16.213548101947794,257.2054048028707,,0.24,,8.22289156626506,5.888579039824879
Census tract,Tract 104,17031010400,5079,0.733835779,,74.91616364855801,9.029290231422422,4473.0,535.0,14.5,,32.9700272479564,25.86073966577384,47.13896457765668,25.185962573161756,444.07620325310097,,0.64,,14.14267834793492,6.538619234139135
Census tract,Tract 105.01,17031010501,4206,2.811048643,,67.26296958855099,10.584162798624156,3913.0,739.0,13.44,,21.502209131075112,11.553823992395468,44.23171330387825,14.494987936545964,370.4088821418925,,0.63,,9.441738478831024,5.636595623805686
Census tract,Tract 105.02,17031010502,3278,5.707836182,,54.65218667449368,7.302714054854778,3407.0,470.99999999999994,14.33,,27.659574468085108,8.762086675057628,53.78723404255319,10.829799865098554,347.2538367386211,,0.57,,13.599126160567996,6.139918346179122
Census tract,Tract 105.03,17031010503,2565,12.00873362,,72.5279271824576,11.356251195258826,2417.0,382.0,16.08,,31.494661921708182,11.968284686192666,47.33096085409253,12.626587839727446,337.4118345976608,,0.11,,9.869773817683344,4.569021786886984
Census tract,Tract 106,17031010600,6225,2.099393144,,55.49459162878194,7.120303825588618,6379.0,1136.0,14.5,,20.6027397260274,9.145700995466497,52.49315068493152,13.06227194573052,89.14796553319519,,0.22,,7.248660573589663,5.06846014602483
Census tract,Tract 107.01,17031010701,3673,-4.943064182,,38.050139275766014,8.482015208348912,3590.0,577.0,12.83,,24.24242424242424,8.94415012435832,57.18050065876152,19.643632912570123,275.6500229427988,,1.02,,8.347627215551743,5.5301139174601
Census tract,Tract 107.02,17031010702,4776,-7.135912891,,23.65967365967366,3.0465742402916014,5148.0,1066.0,15.13,,23.0106100795756,7.8046192063127,51.06100795755968,11.56618423746596,153.78650680332913,,0.56,,10.430308699719363,6.3558540356440565
Census tract,Tract 201,17031020100,4202,5.977301387,,24.57346574993634,3.254047900301097,3927.0,550.0,13.92,,20.74613284804368,14.293865909638976,52.32029117379435,18.36026182478269,367.1936462189672,,1.78,,2.21316249271986,1.7945294460667107
Census tract,Tract 202,17031020200,7128,6.77052127,,45.53658197973067,3.232145895826148,7203.0,1087.0,16.17,,15.89403973509934,12.493658480344164,36.64459161147903,26.661435619161743,120.82255795305836,,1.49,,8.677685950413224,6.122266791765831
Census tract,Tract 203.01,17031020301,5261,10.75789474,,78.25846833578792,5.903998655883825,5432.0,651.0,14.11,,28.98773006134969,19.02095227988812,41.71779141104295,19.80713432007378,140.24938615938984,,0.53,,1.4241210502892745,2.08672409865637
Census tract,Tract 203.02,17031020302,5010,7.741935484,,70.35185541242069,13.1636323269298,5201.0,1038.0,14.72,,9.767441860465116,6.095803701717037,47.44186046511628,14.936712086903457,171.4921345104511,,0.29,,5.084745762711865,4.232477334729609
Census tract,Tract 204,17031020400,4435,6.405950096,,33.670112781954884,1.0819052186291307,4256.0,645.0,13.5,,26.345291479820627,9.720112967421448,52.242152466367706,17.517349039426826,268.5359579795265,,0.8,,11.458885941644564,4.7605546024942695
Census tract,Tract 205,17031020500,6599,6.195687158,,20.35811014143846,3.6464653907412896,6646.0,1254.0,14.96,,29.38623682579045,14.70492766740261,48.171109733416,16.160942219604145,217.1546211692984,,0.71,,10.803212851405622,5.743245829957196
Census tract,Tract 206.01,17031020601,6699,5.446245868,,49.11383776414451,8.281131698414395,5868.0,784.0,15.11,,29.324894514767934,12.001592230867203,44.09282700421941,13.050598806694694,131.87866823048813,,0.47,,9.379128137384413,6.0969234483089805
Census tract,Tract 206.02,17031020602,4662,7.419354839,,36.81452367583755,18.079168652556287,5343.0,1354.0,13.38,,19.27710843373494,9.551164292625172,44.84605087014726,15.61047243675097,244.9104815573788,,0.0,,7.983917288914418,4.709486832900056
